ribbon layer,z,x,y,Inhibition layer,z,x,y
233,12050,21450,31685,*233,12050,21150,31680
243,12550,21915,31713,*247,12750,21710,31285
247,12750,22945,32425,*246,12700,22995,32705
247,12750,24280,30640,246,12700,24415,30405
248,12800,22825,18170,249,12850,22640,18750
251,129500,24565,31245,*262,13500,25035,31640
252,13000,26010,24830,*246,12700,25460,24405
258,13300,19840,23805,261,13450,19920,24065
260,13400,25265,30285,260,13400,25170,30130
260,13400,25265,30285,259,13350,25360,31090
260,13400,23985,20035,259,13350,23425,19950
260,13400,19640,22900,265,13650,19740,22860
261,13450,21260,21060,258,13300,21260,20165
270,13900,25180,29925,274,14100,25915,30110
291,16950,26040,29855,292,15000,26350,29560
297,15250,23115,24670,295,15150,23560,24460
300,15400,23200,24190,308,15800,22770,24005
327,16750,23775,24655,325,16650,23070,24380
338,17300,25070,23290,338,17300,25195,23720
338,17300,21765,24635,340,17400,21445,24485
347,17750,22500,22275,349,17850,21965,21935
356,18200,25880,26720,360,18400,25950,26920
364,18600,22275,24025,*364,18600,22310,23655
375,19150,24980,22135,381,19450,25620,21845
379,9350,18305,24215,375,19150,18405,24305
407,20750,2876,22215,408,20880,28575,22650
607,30750,25825,25385,610,30900,26055,25135
